"","ID Monitoreo","Fecha","Personal","Código","Código control","Tratamiento","Agua inicial","Altura","Crecimiento","Tasa de crecimiento","Tasa de crecimiento acumulada","Herviboría","Estado","Nuevas hojas","Flores","Frutos","Diámetro","Zona","Familia","Genero","Especie","Nombre común","Observaciones","Isla","Sitio específico","Latitud","Longitud","Sustrato","Altitud","Proyecto","Subproyecto","DAP","PlantingDate","age"
"41",12313,2014-04-02,"Estalin Jiménez",234,787,"Waterboxx®",15,91,6,0.46,0.44,"Sí",1,"No","No",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Sin observaciones","Floreana","Anibal Sanmiguel",-1.299702,-90.447451,"Humífero",355.08,"Restauración ecológica","Restauración rural",NA,2013-10-16,0.46027397260274
"42",12314,2014-04-16,"Estalin Jiménez",234,787,"Waterboxx®",15,120,29,2.07,0.57,"Sí",1,"Sí","No",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Sin observaciones","Floreana","Anibal Sanmiguel",-1.299702,-90.447451,"Humífero",355.08,"Restauración ecológica","Restauración rural",NA,2013-10-16,0.498630136986301
"43",12315,2014-05-01,"Estalin Jiménez",234,787,"Waterboxx®",15,133,13,0.87,0.59,"Sí",1,"Sí","No",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Sin observaciones","Floreana","Anibal Sanmiguel",-1.299702,-90.447451,"Humífero",355.08,"Restauración ecológica","Restauración rural",NA,2013-10-16,0.53972602739726
"44",12316,2014-05-14,"Estalin Jiménez",234,787,"Waterboxx®",15,160,27,2.08,0.68,"No",1,"Sí","No",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Sin observaciones","Floreana","Anibal Sanmiguel",-1.299702,-90.447451,"Humífero",355.08,"Restauración ecológica","Restauración rural",NA,2013-10-16,0.575342465753425
"45",12317,2014-05-28,"Estalin Jiménez",234,787,"Waterboxx®",15,170,10,0.71,0.68,"Sí",1,"Sí","No",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","caja_retirada","Floreana","Anibal Sanmiguel",-1.299702,-90.447451,"Humífero",355.08,"Restauración ecológica","Restauración rural",NA,2013-10-16,0.613698630136986
"46",11760,2014-01-22,"Estalin Jiménez",239,788,"Waterboxx®",15,18,0,0,0,"No",1,"Sí","No",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","cambiada_por_otra_scalesia","Floreana","Anibal Sanmiguel",-1.299655,-90.447447,"Humífero",353.92,"Restauración ecológica","Restauración rural",NA,2014-01-22,0
"47",12345,2014-02-06,"Estalin Jiménez",239,788,"Waterboxx®",15,26,8,0.53,0.53,"Sí",1,"No","No",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Sin observaciones","Floreana","Anibal Sanmiguel",-1.299655,-90.447447,"Humífero",353.92,"Restauración ecológica","Restauración rural",NA,2014-01-22,0.0410958904109589
"48",12346,2014-03-05,"Estalin Jiménez",239,788,"Waterboxx®",15,36,10,0.37,0.43,"Sí",1,"No","No",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Sin observaciones","Floreana","Anibal Sanmiguel",-1.299655,-90.447447,"Humífero",353.92,"Restauración ecológica","Restauración rural",NA,2014-01-22,0.115068493150685
"49",12347,2014-03-20,"Estalin Jiménez",239,788,"Waterboxx®",15,40,4,0.27,0.39,"No",1,"Sí","No",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Sin observaciones","Floreana","Anibal Sanmiguel",-1.299655,-90.447447,"Humífero",353.92,"Restauración ecológica","Restauración rural",NA,2014-01-22,0.156164383561644
"50",12348,2014-04-02,"Estalin Jiménez",239,788,"Waterboxx®",15,44,4,0.31,0.37,"Sí",1,"No","No",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Sin observaciones","Floreana","Anibal Sanmiguel",-1.299655,-90.447447,"Humífero",353.92,"Restauración ecológica","Restauración rural",NA,2014-01-22,0.191780821917808
