Codigo,Fecha,Personal,Equipo de Medida,Distancia,Angulo superior,Angulo inferior,Altura 1 (cm),Altura 2 (cm),Altura total (cm),Circunferencia Pecho (cm),DAP,Circunferencia Base (cm),DAB,Estado,Observaciones,Isla,Sitio específico,Latitud,Longitud,Altitud,
14363,29/4/2022,Pavel Enriqez,Metro,,,,,,95,-,NA,-,NA,Bueno,Plántulas muy jóvenes a esa altura,Santa Cruz,Finca Mario Piu,-0.70304,-90.354754,177.56,
9639,29/4/2022,Pavel Enriqez,Clinómetro,500,50.5,22.4,606.55,159,765.55,45.5,14.48310283,50.2,15.97915961,Bueno,,Santa Cruz,Finca Mario Piu,-0.702461,-90.354467,176.88,
9640,29/4/2022,Pavel Enriqez,Clinómetro,610,56.7,22.1,928.64,160,1088.64,46,14.64225781,61,19.4169071,Bueno,,Santa Cruz,Finca Mario Piu,-0.702459,-90.354411,178.3,
9645,29/4/2022,Pavel Enriqez,Clinómetro,500,43.4,26.8,472.83,258,730.83,40.53,12.90110237,60.45,19.24183662,Bueno,,Santa Cruz,Finca Mario Piu,-0.702542,-90.354475,173.86,
9646,29/4/2022,Pavel Enriqez,Clinómetro,600,45,14.1,600,150,750,49.2,15.66084966,58.3,18.55747023,Bueno,,Santa Cruz,Finca Mario Piu,-0.702564,-90.35446,172.77,
9654,29/4/2022,Pavel Enriqez,Metro,,,,0,0,605,38,12.09577819,45,14.32394786,Bueno,,Santa Cruz,Finca Mario Piu,-0.702683,-90.354555,171.15,
9655,29/4/2022,Pavel Enriqez,Metro,,,,,,610,32,10.18591848,38.5,12.25493317,Bueno,,Santa Cruz,Finca Mario Piu,-0.702703,-90.354595,170.72,
9657,29/4/2022,Pavel Enriqez,Metro,,,,,,482,27,8.594368715,34,10.82253838,Bueno,,Santa Cruz,Finca Mario Piu,-0.702782,-90.354506,165.71,
9666,29/4/2022,Pavel Enriqez,Clinómetro,330,23,22.4,140.1,130,270.08,35,11.14084833,44,14.00563791,Bueno,,Santa Cruz,Finca Mario Piu,-0.703041,-90.3545,167.05,
9677,29/4/2022,Pavel Enriqez,Clinómetro,425,67.4,-,1021,173,1194,50,15.91549762,62,19.73521705,Bueno,,Santa Cruz,Finca Mario Piu,-0.702857,-90.354405,172.4,
9685,29/4/2022,Pavel Enriqez,Metro,,,,0,0,487,24.5,7.798593834,31.7,10.09042549,Bueno,,Santa Cruz,Finca Mario Piu,-0.702683,-90.354402,175.72,
