Código,Código control,Fecha siembra,Tratamiento,RetiroTratamiento,Agua inicial,Zona,Familia,Genero,Especie,Nombre común,Isla,Sitio específico,Latitud,Longitud,Sustrato,Altitud,Proyecto,Subproyecto
384,346,26/12/2013,Waterboxx®,28/5/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299471,-90.447332,Humífero,339.6,Restauración ecológica,Restauración rural
385,345,26/12/2013,Waterboxx®,28/5/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299467,-90.44736,Humífero,339.95,Restauración ecológica,Restauración rural
386,344,26/12/2013,Waterboxx®,6/2/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299467,-90.447393,Humífero,339.83,Restauración ecológica,Restauración rural
387,319,26/12/2013,Waterboxx®,26/6/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299463,-90.447412,Humífero,340.53,Restauración ecológica,Restauración rural
388,317,26/12/2013,Waterboxx®,28/5/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299462,-90.447438,Humífero,340.95,Restauración ecológica,Restauración rural
389,241,26/12/2013,Waterboxx®,28/5/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299452,-90.447467,Humífero,341.36,Restauración ecológica,Restauración rural
390,243,26/12/2013,Waterboxx®,22/1/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299526,-90.44749,Humífero,341.89,Restauración ecológica,Restauración rural
391,248,26/12/2013,Waterboxx®,1/5/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299532,-90.447486,Humífero,342.76,Restauración ecológica,Restauración rural
392,786,26/12/2013,Waterboxx®,1/5/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299529,-90.447466,Humífero,343.2,Restauración ecológica,Restauración rural
393,787,12/12/2013,Waterboxx®,1/5/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.29954,-90.447424,Humífero,343.06,Restauración ecológica,Restauración rural
